epoch,avg_val_loss,FID,lr
0,11369.3974609375,64.73713684082031,0.0005
0,8159.9521484375,32.328147888183594,0.0005
1,5174.18408203125,1.2058390378952026,0.0005
2,4762.478515625,0.49056535959243774,0.0005
3,4741.7626953125,0.5828836560249329,0.0005
4,4994.970703125,1.0991017818450928,0.0005
5,4770.15625,0.6913098692893982,0.0005
6,4551.1416015625,0.45749181509017944,0.0005
7,4581.1171875,0.9254050850868225,0.0005
8,4350.8896484375,0.9946353435516357,0.0005
9,4244.025390625,0.4148086607456207,0.0005
