epoch,avg_val_loss,FID,lr
0,11370.80859375,62.58715057373047,0.0005
0,7466.765625,31.65739631652832,0.0005
1,4794.099609375,0.6400356292724609,0.0005
2,4619.78271484375,2.1351892948150635,0.0005
3,4480.8046875,0.8094354271888733,0.0005
4,4463.97314453125,0.24807946383953094,0.0005
5,4374.5693359375,0.26828160881996155,0.0005
6,4285.384765625,0.33874329924583435,0.0005
7,4270.27880859375,0.48919129371643066,0.0005
8,4188.80078125,0.7229626178741455,0.0005
9,4084.09814453125,0.4399919807910919,0.0005
