epoch,avg_val_loss,FID,lr
0,0.6374261379241943,0.0,0.0004
0,0.6374261379241943,0.0,0.0004
0,0.4385437071323395,0.0,0.0004
1,0.37266308069229126,0.0,0.0004
2,0.3664855360984802,0.0,0.0004
3,0.3656060993671417,0.0,0.0004
4,0.36541783809661865,0.0,0.0004
5,0.36533939838409424,0.0,0.0004
6,0.36531755328178406,0.0,0.0004
7,0.3653150200843811,0.0,0.0004
8,0.36528414487838745,0.0,0.0004
9,0.3652864098548889,0.0,0.0004
